issue_type,severity,blocking,hotel_name,city,priority_band,details,source_file
unverified_opening_hours,Low,no,Felicity Garni Hotel,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Suza,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Antares,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,APLEND CITY Hotel Perugia,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,PREMIUM Business Hotel Bratislava,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Vienna House Easy Bratislava,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Best Place Apartments,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Dobrá Lipa,Vajnory,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Saffron,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Ubytovňa Siesta,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Blue Bratislava,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel West,Nové Mesto,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Aviator Garni Hotel Bratislava,Ružinov,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Nivy,Bratislava,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
unverified_opening_hours,Low,no,Hotel Set,Nové Mesto,Medium-High,Otváracie hodiny sú verejne nepotvrdené; verejný web fetch bol blokovaný DNS problémom.,raw_bratislava region_2026-04-01_21-01-58-857.csv
